Iteration,Infected,Healthy
1,74,26
2,78,22
3,70,30
4,81,19
5,72,28
6,76,24
7,73,27
8,73,27
9,79,21
10,69,31
11,73,27
12,70,30
13,76,24
14,75,25
15,73,27
16,75,25
17,77,23
18,77,23
19,76,24
20,76,24
21,77,23
22,67,33
23,76,24
24,77,23
25,69,31
26,80,20
27,75,25
28,69,31
29,73,27
30,73,27
31,79,21
32,71,29
33,74,26
34,71,29
35,76,24
36,80,20
37,74,26
38,71,29
39,74,26
40,77,23
41,76,24
42,78,22
43,76,24
44,72,28
45,70,30
46,71,29
47,75,25
48,75,25
49,72,28
50,70,30
51,74,26
52,76,24
53,72,28
54,73,27
55,70,30
56,77,23
57,74,26
58,78,22
59,75,25
60,75,25
61,73,27
62,71,29
63,78,22
64,72,28
65,80,20
66,74,26
67,76,24
68,77,23
69,82,18
70,66,34
71,79,21
72,75,25
73,75,25
74,75,25
75,72,28
76,77,23
77,73,27
78,78,22
79,72,28
80,75,25
81,75,25
82,76,24
83,78,22
84,77,23
85,84,16
86,75,25
87,74,26
88,80,20
89,70,30
90,78,22
91,71,29
92,71,29
93,77,23
94,74,26
95,74,26
96,79,21
97,68,32
98,79,21
99,71,29
100,77,23
101,71,29
102,71,29
103,75,25
104,76,24
105,79,21
106,71,29
107,74,26
108,77,23
109,76,24
110,78,22
111,74,26
112,70,30
113,75,25
114,71,29
115,76,24
116,73,27
117,76,24
118,71,29
119,84,16
120,76,24
121,76,24
122,78,22
123,73,27
124,73,27
125,77,23
126,74,26
127,74,26
128,74,26
129,72,28
130,69,31
131,77,23
132,76,24
133,72,28
134,74,26
135,83,17
136,79,21
137,72,28
138,74,26
139,71,29
140,79,21
141,72,28
142,76,24
143,72,28
144,75,25
145,73,27
146,74,26
147,76,24
148,78,22
149,71,29
150,78,22
151,72,28
152,79,21
153,74,26
154,71,29
155,74,26
156,79,21
157,79,21
158,80,20
159,78,22
160,72,28
161,77,23
162,70,30
163,76,24
164,67,33
165,78,22
166,74,26
167,71,29
168,80,20
169,71,29
170,78,22
171,75,25
172,71,29
173,71,29
174,75,25
175,74,26
176,67,33
177,78,22
178,72,28
179,74,26
180,79,21
181,72,28
182,70,30
183,74,26
184,80,20
185,71,29
186,74,26
187,73,27
188,78,22
189,77,23
190,77,23
191,78,22
192,76,24
193,73,27
194,81,19
195,72,28
196,79,21
197,69,31
198,72,28
199,77,23
200,75,25
201,72,28
202,71,29
203,74,26
204,76,24
205,74,26
206,70,30
207,74,26
208,73,27
209,82,18
210,70,30
211,67,33
212,75,25
213,77,23
214,73,27
215,83,17
216,70,30
217,69,31
218,80,20
219,74,26
220,76,24
221,76,24
222,75,25
223,78,22
224,74,26
225,78,22
226,69,31
227,73,27
228,76,24
229,79,21
230,75,25
231,76,24
232,76,24
233,79,21
234,69,31
235,75,25
236,77,23
237,75,25
238,75,25
239,73,27
240,78,22
241,74,26
242,77,23
243,76,24
244,74,26
245,75,25
246,76,24
247,73,27
248,75,25
249,80,20
250,76,24
251,71,29
252,75,25
253,71,29
254,80,20
255,78,22
256,73,27
257,74,26
258,72,28
259,72,28
260,76,24
261,78,22
262,73,27
263,70,30
264,75,25
265,72,28
266,72,28
267,70,30
268,73,27
269,77,23
270,72,28
271,74,26
272,81,19
273,72,28
274,76,24
275,74,26
276,76,24
277,75,25
278,71,29
279,78,22
280,75,25
281,77,23
282,79,21
283,72,28
284,79,21
285,71,29
286,72,28
287,76,24
288,74,26
289,73,27
290,75,25
291,78,22
292,71,29
293,72,28
294,80,20
295,72,28
296,78,22
297,78,22
298,75,25
299,73,27
300,79,21
301,69,31
302,73,27
